Session	Date	Start Time	End Time	Location	Presentation Order	PID-old	PID	Title	Author	Session Title	Oral(pref)	Track	Category	Length
Session 3	2023-12-08	14:00	14:15	West 2	1	1370	1370	Cognate Transformer for Automated Phonological Reconstruction and Cognate Reflex Prediction	"V.S.D.S.Mahesh Akavarapu,Arnab Bhattacharya"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	West 2	2	2194	2194	Understanding Compositional Data Augmentation in Typologically Diverse Morphological Inflection	"Farhan Samir,Miikka Silfverberg"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	West 2	3	3217	3217	TopWORDS-Poetry: Simultaneous Text Segmentation and Word Discovery for Classical Chinese Poetry via Bayesian Inference	"Changzai Pan,Feiyue Li,Ke Deng"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	West 2	4	3422	3422	Improved Unsupervised Chinese Word Segmentation Using Pre-trained Knowledge and Pseudo-labeling Transfer	"Hsiu-Wen Li,Ying-Jia Lin,Yi-Ting Li,Chun Yi Lin,Hung-Yu Kao"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	West 2	5	4648	4648	Exploring Linguistic Probes for Morphological Inflection	"Jordan Kodner,Salam Khalifa,Sarah Ruth Brogden Payne"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	15:15	15:30	West 2	6	CL 2336	CL-2336	On the Role of Morphological Information for Contextual Lemmatization	"Olia Toporkov, Rodrigo Agerri"	"Phonology, Morphology, and Word Segmentation"	In Person	"Phonology, Morphology, and Word Segmentation"	Main-Oral	Long
Session 3	2023-12-08	14:00	14:15	West 3	1	842	842	ViStruct: Visual Structural Knowledge Extraction via Curriculum Guided Code-Vision Representation	"Yangyi Chen,Xingyao Wang,Manling Li,Derek Hoiem,Heng Ji"	Information Extraction 2	In Person	Information Extraction 2	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	West 3	2	1730	1730	CorefPrompt: Prompt-based Event Coreference Resolution by Measuring Event Type and Argument Compatibilities	"Sheng Xu,PEIFENG LI,Qiaoming Zhu"	Information Extraction 2	In Person	Information Extraction 2	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	West 3	3	2310	2310	Continual Event Extraction with Semantic Confusion Rectification	"Zitao Wang,Xinyi Wang,Wei Hu"	Information Extraction 2	In Person	Information Extraction 2	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	West 3	4	3359	3359	CORE: A Few-Shot Company Relation Classification Dataset for Robust Domain Adaptation.	"Philipp Borchert,Jochen De Weerdt,Kristof Coussement,Arno De Caigny,Marie-Francine Moens"	Information Extraction 2	In Person	Information Extraction 2	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	West 3	5	4416	4416	SpEL: Structured Prediction for Entity Linking	"Hassan Shavarani,Anoop Sarkar"	Information Extraction 2	In Person	Information Extraction 2	Main-Oral	Long
Session 3	2023-12-08	15:15	15:30	West 3	6	ARR 89	ARR-89	TIMELINE: Exhaustive Annotation of Temporal Relations Supporting the Automatic Ordering of Events in News Articles	"Sarah Alsayyahi,Riza Batista-Navarro"	Information Extraction 2	Virtually	Information Extraction 2	Main-Oral	Long
Session 4	2023-12-08	16:00	16:15	East	1	60	60	Dissecting Recall of Factual Associations in Auto-Regressive Language Models	"Mor Geva,Jasmijn Bastings,Katja Filippova,Amir Globerson"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	In Person	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	16:15	16:30	East	2	148	148	Interpreting Embedding Spaces by Conceptualization	"Adi Simhi,Shaul Markovitch"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	In Person	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	16:30	16:45	East	3	901	901	Norm of Word Embedding Encodes Information Gain	"Momose Oyama,Sho Yokoi,Hidetoshi Shimodaira"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	In Person	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	16:45	17:00	East	4	1489	1489	Assessing Step-by-Step Reasoning against Lexical Negation: A Case Study on Syllogism	"Mengyu Ye,Tatsuki Kuribayashi,Jun Suzuki,Goro Kobayashi,Hiroaki Funayama"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	In Person	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	17:00	17:15	East	5	1568	1568	Can LLMs Facilitate Interpretation of Pre-trained Language Models?	"Basel Mousi,Nadir Durrani,Fahim Dalvi"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	In Person	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	17:15	17:30	East	6	1823	1823	Can You Follow Me? Testing Situational Understanding for ChatGPT	"Chenghao Yang,Allyson Ettinger"	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Virtually	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	Main-Oral	Long
Session 4	2023-12-08	16:00	16:15	Central  1	1	1214	1214	Models See Hallucinations: Evaluating the Factuality in Video Captioning	"Hui Liu,Xiaojun Wan"	"Language Grounding to Vision, Robotics and Beyond"	In Person	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	16:15	16:30	Central  1	2	1456	1456	Describe Me an Auklet: Generating Grounded Perceptual Category Descriptions	"Bill Noble,Nikolai Ilinykh"	"Language Grounding to Vision, Robotics and Beyond"	In Person	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	16:30	16:45	Central  1	3	1846	1846	"Reading Books is Great, But Not if You Are Driving! Visually Grounded Reasoning about Defeasible Commonsense Norms"	"Seungju Han,Junhyeok Kim,Jack Hessel,Liwei Jiang,Jiwan Chung,Yejin Son,Yejin Choi,Youngjae Yu"	"Language Grounding to Vision, Robotics and Beyond"	In Person	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	16:45	17:00	Central  1	4	2129	2129	Bridging the Digital Divide: Performance Variation across Socio-Economic Factors in Vision-Language Models	"Joan Nwatu,Oana Ignat,Rada Mihalcea"	"Language Grounding to Vision, Robotics and Beyond"	In Person	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	17:00	17:15	Central  1	5	4958	4958	3DRP-Net: 3D Relative Position-aware Network for 3D Visual Grounding	"Zehan Wang,Haifeng Huang,Yang Zhao,Linjun Li,Xize Cheng,Yichen Zhu,Aoxiong Yin,Zhou Zhao"	"Language Grounding to Vision, Robotics and Beyond"	Virtually	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	17:15	17:30	Central  1	6	4977	4977	Localizing Active Objects from Egocentric Vision with Symbolic World Knowledge	"Te-Lin Wu,Yu Zhou,Nanyun Peng"	"Language Grounding to Vision, Robotics and Beyond"	In Person	"Language Grounding to Vision, Robotics and Beyond"	Main-Oral	Long
Session 4	2023-12-08	16:00	16:15	Central 3	1	144	144	FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation	"Sewon Min,Kalpesh Krishna,Xinxi Lyu,Mike Lewis,Scott Yih,Pang Wei Koh,Mohit Iyyer,Luke Zettlemoyer,Hannaneh Hajishirzi"	Language Modeling and Analysis of Language Models 1	In Person	Language Modeling and Analysis of Language Models 1	Main-Oral	Long
Session 4	2023-12-08	16:15	16:30	Central 3	2	518	518	ViSoBERT: A Pre-Trained Language Model for Vietnamese Social Media Text Processing	"Nam Quoc Nguyen,Thang Chau Phan,Duc-Vu Nguyen,Kiet Van Nguyen"	Language Modeling and Analysis of Language Models 1	In Person	Language Modeling and Analysis of Language Models 1	Main-Oral	Long
Session 4	2023-12-08	16:30	16:45	Central 3	3	809	809	Navigating the Grey Area: How Expressions of Uncertainty and Overconfidence Affect Language Models	"Kaitlyn Zhou,Dan Jurafsky,Tatsunori Hashimoto"	Language Modeling and Analysis of Language Models 1	In Person	Language Modeling and Analysis of Language Models 1	Main-Oral	Long
Session 4	2023-12-08	16:45	17:00	Central 3	4	851	851	CodeT5+: Open Code Large Language Models for Code Understanding and Generation	"Yue Wang,Hung Le,Akhilesh Deepak Gotmare,Nghi D. Q. Bui,Junnan Li,Steven Hoi"	Language Modeling and Analysis of Language Models 1	In Person	Language Modeling and Analysis of Language Models 1	Main-Oral	Long
